s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000009E+001
 3.4678551E-001, 1.9999991E+001
 4.6238068E-001, 2.0000110E+001
 5.5702967E-001, 2.0000203E+001
 6.1869053E-001, 2.0000276E+001
 6.7496673E-001, 2.0008449E+001
 7.3124293E-001, 2.0016637E+001
 7.8751912E-001, 2.0024834E+001
 8.3268471E-001, 2.0035147E+001
 8.6983349E-001, 2.0043680E+001
 9.0698226E-001, 2.0052278E+001
 9.3970203E-001, 2.0067528E+001
 9.6788574E-001, 2.0080774E+001
 9.9606945E-001, 2.0094166E+001
 1.0242532E+000, 2.0111450E+001
 1.0471481E+000, 2.0125702E+001
 1.0700431E+000, 2.0140215E+001
 1.0895572E+000, 2.0159914E+001
 1.1090713E+000, 2.0179913E+001
 1.1260673E+000, 2.0197540E+001
 1.1430633E+000, 2.0219371E+001
 1.1600592E+000, 2.0241353E+001
 1.1747473E+000, 2.0260100E+001
 1.1894353E+000, 2.0282912E+001
 1.2041234E+000, 2.0306099E+001
 1.2188114E+000, 2.0330081E+001
 1.2334995E+000, 2.0357216E+001
 1.2481875E+000, 2.0387840E+001
 1.2628756E+000, 2.0459540E+001
 1.2775636E+000, 2.0813765E+001
 1.2922517E+000, 3.1889356E+001
 1.3069397E+000, 7.2308885E+001
 1.3216278E+000, 1.4020360E+002
 1.3363158E+000, 2.0617482E+002
 1.3510039E+000, 2.3557958E+002
 1.3656919E+000, 2.4916185E+002
 1.3803800E+000, 2.5416998E+002
 1.3965369E+000, 2.5549036E+002
 1.4126937E+000, 2.5507253E+002
 1.4288506E+000, 2.6781557E+002
 1.4450074E+000, 3.1335240E+002
 1.4611643E+000, 3.9522993E+002
 1.4754456E+000, 4.8547524E+002
 1.4897270E+000, 5.5937388E+002
 1.5040083E+000, 6.5576770E+002
 1.5162893E+000, 7.0701427E+002
 1.5285703E+000, 7.0976369E+002
 1.5408513E+000, 6.9263132E+002
 1.5531323E+000, 6.4335848E+002
 1.5654134E+000, 5.8474126E+002
 1.5776944E+000, 5.3552216E+002
 1.5996128E+000, 4.5527907E+002
 1.6215313E+000, 3.6944817E+002
 1.6544090E+000, 2.8545291E+002
 1.6872867E+000, 2.8237817E+002
 1.7201645E+000, 3.8546506E+002
 1.7420829E+000, 4.5416175E+002
 1.7771525E+000, 5.4078275E+002
 1.8012628E+000, 5.7969380E+002
 1.8374283E+000, 5.7059724E+002
 1.8615386E+000, 5.3292447E+002
 1.9013206E+000, 6.1162590E+002
 1.9278420E+000, 7.5099003E+002
 1.9543634E+000, 7.8329379E+002
 1.9808847E+000, 7.6624610E+002
 2.0206667E+000, 7.6805545E+002
 2.0436850E+000, 7.7352588E+002
 2.0782125E+000, 7.0359883E+002
 2.1012308E+000, 6.5013587E+002
 2.1357583E+000, 6.8030913E+002
 2.1702857E+000, 6.8224147E+002
 2.1933041E+000, 6.4424511E+002
 2.2266205E+000, 6.6305642E+002
 2.2575148E+000, 6.9802844E+002
 2.2884091E+000, 6.7302426E+002
 2.3110649E+000, 6.6975334E+002
 2.3450486E+000, 7.2741068E+002
 2.3790324E+000, 7.7115047E+002
 2.4016882E+000, 7.7323637E+002
 2.4356719E+000, 8.0251568E+002
 2.4696557E+000, 8.6327611E+002
