s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-8.2245074E-007,-4.7546704E-003, 0.0000000E+000,-1.3589648E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1144577E-003, 0.0000000E+000, 9.0863030E-004, 0.0000000E+000
 2.3119034E-001, 3.1008561E+001, 0.0000000E+000,-8.2091177E-007, 5.2015570E-001,-6.3167789E-010,-1.9461836E-003, 0.0000000E+000, 0.0000000E+000,-8.9411874E-003, 3.1526770E+001, 0.0000000E+000, 1.7280902E-003, 0.0000000E+000
 3.4678552E-001, 6.2577507E+001, 0.0000000E+000,-5.8496468E-001, 1.0307699E+000,-3.5784561E-002,-5.4149506E-003, 0.0000000E+000, 0.0000000E+000, 3.1338034E+001, 6.2982112E+001, 0.0000000E+000, 2.4010848E-003, 0.0000000E+000
 4.6238068E-001, 9.1191045E+001, 0.0000000E+000,-8.0107145E+000, 1.3316765E+000,-1.3286222E-001,-6.4434810E-003, 0.0000000E+000, 0.0000000E+000, 6.1654706E+001, 8.4372701E+001, 0.0000000E+000, 2.9125684E-003, 0.0000000E+000
 5.7797587E-001, 1.1478003E+002, 0.0000000E+000,-7.0614795E+001, 6.9390054E-001,-2.5953784E-001,-7.6851223E-003, 0.0000000E+000, 0.0000000E+000, 8.2064102E+001, 4.4591913E+001, 0.0000000E+000, 3.2788647E-003, 0.0000000E+000
 6.4089733E-001, 1.4512816E+002, 0.0000000E+000,-7.1822619E+001, 1.1415210E+000,-2.3083749E-001,-8.4583363E-003, 0.0000000E+000, 0.0000000E+000, 4.3801919E+001, 7.4207762E+001, 0.0000000E+000, 3.4278493E-003, 0.0000000E+000
 7.0163900E-001, 1.4515411E+002, 0.0000000E+000,-1.1452969E+002, 5.6697200E-001,-2.3191804E-001,-9.0377545E-003, 0.0000000E+000, 0.0000000E+000, 7.3499603E+001, 3.0950436E+001, 0.0000000E+000, 3.5442326E-003, 0.0000000E+000
 8.2312238E-001, 1.2614421E+002, 0.0000000E+000,-5.8004216E+001, 1.0987232E+000,-2.0921997E-001,-9.7112242E-003, 0.0000000E+000, 0.0000000E+000, 4.0617930E+001, 6.9019782E+001, 0.0000000E+000, 3.6757287E-003, 0.0000000E+000
 9.0735745E-001, 1.5673604E+002, 0.0000000E+000,-7.5768883E+001, 1.3411152E+000,-2.0143384E-001,-1.0196055E-002, 0.0000000E+000, 0.0000000E+000, 8.0519825E+001, 8.2096644E+001, 0.0000000E+000, 3.7748429E-003, 0.0000000E+000
 1.0152837E+000, 1.7627165E+002, 0.0000000E+000,-8.2598652E+001, 1.5603443E+000,-1.9710413E-001,-1.0518340E-002, 0.0000000E+000, 0.0000000E+000, 9.0101878E+001, 9.5025718E+001, 0.0000000E+000, 3.8430462E-003, 0.0000000E+000
 1.1190336E+000, 1.9854222E+002, 0.0000000E+000,-9.1373392E+001, 1.8192699E+000,-1.7600793E-001,-1.0628629E-002, 0.0000000E+000, 0.0000000E+000, 1.0627403E+002, 1.0880147E+002, 0.0000000E+000, 3.8944397E-003, 0.0000000E+000
 1.2181500E+000, 1.8839615E+002, 0.0000000E+000,-7.2460456E+001, 1.9680841E+000,-1.4619343E-001,-1.0578100E-002, 0.0000000E+000, 0.0000000E+000, 1.1767663E+002, 1.1774701E+002, 0.0000000E+000, 3.9284784E-003, 0.0000000E+000
 1.3047149E+000, 1.7506632E+002, 0.0000000E+000,-6.6277597E+001, 1.8183032E+000,-1.6315603E-001,-1.0359463E-002, 0.0000000E+000, 0.0000000E+000, 1.1220601E+002, 1.1043351E+002, 0.0000000E+000, 3.9503421E-003, 0.0000000E+000
 1.4062614E+000, 1.7193120E+002, 0.0000000E+000,-7.2448836E+001, 1.6463766E+000,-1.8745613E-001,-1.0415330E-002, 0.0000000E+000, 0.0000000E+000, 1.0201860E+002, 1.0093087E+002, 0.0000000E+000, 3.9657488E-003, 0.0000000E+000
 1.5078080E+000, 1.7359422E+002, 0.0000000E+000,-7.2945939E+001, 1.6595314E+000,-1.8287423E-001,-1.0413266E-002, 0.0000000E+000, 0.0000000E+000, 1.0123002E+002, 1.0211453E+002, 0.0000000E+000, 3.9771492E-003, 0.0000000E+000
 1.6041027E+000, 1.7910418E+002, 0.0000000E+000,-7.9127411E+001, 1.6405252E+000,-1.7950649E-001,-1.0259062E-002, 0.0000000E+000, 0.0000000E+000, 1.0242646E+002, 1.0142753E+002, 0.0000000E+000, 3.9845893E-003, 0.0000000E+000
 1.7025933E+000, 1.7354531E+002, 0.0000000E+000,-7.5899094E+001, 1.5654282E+000,-1.9482657E-001,-1.0246892E-002, 0.0000000E+000, 0.0000000E+000, 9.9090790E+001, 9.9006574E+001, 0.0000000E+000, 3.9895096E-003, 0.0000000E+000
 1.8116219E+000, 1.7379567E+002, 0.0000000E+000,-7.0841444E+001,-1.7842725E+001,-2.0947161E-001,-1.0454974E-002, 0.0000000E+000, 0.0000000E+000, 8.7787105E+001, 8.4891571E+001, 0.0000000E+000, 3.9930523E-003, 0.0000000E+000
 1.9070220E+000, 1.7313066E+002, 0.0000000E+000,-6.4661552E+001,-9.6688315E+001,-2.1427470E-001,-1.0631728E-002, 0.0000000E+000, 0.0000000E+000, 1.4631766E+001, 1.1555885E+001, 0.0000000E+000, 3.9953910E-003, 0.0000000E+000
 2.0024221E+000, 1.8096046E+002, 0.0000000E+000,-6.6320108E+001,-1.1673711E+002,-2.1262561E-001,-1.0693088E-002, 0.0000000E+000, 0.0000000E+000,-2.6878128E+000,-2.3200671E+000, 0.0000000E+000, 3.9968526E-003, 0.0000000E+000
 2.1046364E+000, 1.8170161E+002, 0.0000000E+000,-6.8580541E+001,-1.1949344E+002,-2.1727961E-001,-1.0688459E-002, 0.0000000E+000, 0.0000000E+000,-6.2329618E+000,-6.6003395E+000, 0.0000000E+000, 3.9978820E-003, 0.0000000E+000
